,FI,LV,RU,sum
2023-01-12 20:00:00+00:00,0.0,288.0,355.0,643.0
2023-01-12 21:00:00+00:00,0.0,135.0,254.0,389.0
2023-01-12 22:00:00+00:00,0.0,65.0,234.0,299.0
2023-01-12 23:00:00+00:00,0.0,0.0,84.0,84.0
2023-01-13 00:00:00+00:00,0.0,0.0,76.0,76.0
2023-01-13 01:00:00+00:00,0.0,16.0,88.0,104.0
2023-01-13 02:00:00+00:00,0.0,0.0,42.0,42.0
2023-01-13 03:00:00+00:00,0.0,10.0,0.0,10.0
2023-01-13 04:00:00+00:00,0.0,137.0,87.0,224.0
2023-01-13 05:00:00+00:00,0.0,260.0,179.0,439.0
2023-01-13 06:00:00+00:00,0.0,232.0,177.0,409.0
2023-01-13 07:00:00+00:00,0.0,238.0,191.0,429.0
2023-01-13 08:00:00+00:00,0.0,224.0,204.0,428.0
2023-01-13 09:00:00+00:00,0.0,216.0,175.0,391.0
2023-01-13 10:00:00+00:00,0.0,237.0,196.0,433.0
2023-01-13 11:00:00+00:00,0.0,233.0,196.0,429.0
2023-01-13 12:00:00+00:00,0.0,258.0,188.0,446.0
2023-01-13 13:00:00+00:00,0.0,248.0,204.0,452.0
2023-01-13 14:00:00+00:00,0.0,277.0,243.0,520.0
2023-01-13 15:00:00+00:00,0.0,336.0,291.0,627.0
2023-01-13 16:00:00+00:00,0.0,327.0,263.0,590.0
2023-01-13 17:00:00+00:00,0.0,265.0,220.0,485.0
2023-01-13 18:00:00+00:00,0.0,243.0,209.0,452.0
2023-01-13 19:00:00+00:00,0.0,296.0,254.0,550.0
2023-01-13 20:00:00+00:00,0.0,211.0,219.0,430.0
2023-01-13 21:00:00+00:00,0.0,95.0,204.0,299.0
2023-01-13 22:00:00+00:00,0.0,5.0,144.0,149.0
2023-01-13 23:00:00+00:00,0.0,0.0,102.0,102.0
2023-01-14 00:00:00+00:00,0.0,0.0,66.0,66.0
2023-01-14 01:00:00+00:00,0.0,0.0,46.0,46.0
2023-01-14 02:00:00+00:00,0.0,0.0,62.0,62.0
2023-01-14 03:00:00+00:00,0.0,0.0,13.0,13.0
2023-01-14 04:00:00+00:00,0.0,0.0,23.0,23.0
2023-01-14 05:00:00+00:00,0.0,70.0,56.0,126.0
2023-01-14 06:00:00+00:00,0.0,52.0,23.0,75.0
2023-01-14 07:00:00+00:00,0.0,38.0,35.0,73.0
2023-01-14 08:00:00+00:00,0.0,109.0,137.0,246.0
2023-01-14 09:00:00+00:00,0.0,100.0,160.0,260.0
2023-01-14 10:00:00+00:00,0.0,97.0,178.0,275.0
2023-01-14 11:00:00+00:00,0.0,30.0,139.0,169.0
2023-01-14 12:00:00+00:00,0.0,0.0,135.0,135.0
2023-01-14 13:00:00+00:00,0.0,0.0,136.0,136.0
2023-01-14 14:00:00+00:00,0.0,0.0,18.0,18.0
2023-01-14 15:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-14 16:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-14 17:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-14 18:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-14 19:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-14 20:00:00+00:00,163.0,0.0,0.0,163.0
2023-01-14 21:00:00+00:00,218.0,0.0,0.0,218.0
2023-01-14 22:00:00+00:00,0.0,0.0,25.0,25.0
2023-01-14 23:00:00+00:00,320.0,0.0,0.0,320.0
2023-01-15 00:00:00+00:00,185.0,0.0,0.0,185.0
2023-01-15 01:00:00+00:00,186.0,0.0,0.0,186.0
