;Code;City;Country;Latitude;Longitude
197;ENBO;Bodo;Norway;67.3094783;13.915442
198;ENBR;Bergen ;Norway;60.3943055;5.3259192
199;ENBS;Batsfjord;Norway;70.6142761;30.3274063
200;ENBV;Berlevag;Norway;70.7990451;29.1505286
201;ENCN;Kristiansand ;Norway;58.0856276;7.931858
202;ENDU;Bardufoss;Norway;69.065637;18.5159237
203;ENEV;Harstad-Narvik ;Norway;68.4891547;16.6911866
204;ENFL;Floro;Norway;61.6002583;5.0349596
205;ENGM;Oslo ;Norway;59.9133301;10.7389701
206;ENHD;Haugesund ;Norway;59.4682478;5.0827612
207;ENHF;Hammerfest;Norway;70.6413392;23.8360801
208;ENHK;Hasvik;Norway;70.6328945;22.115764
209;ENHV;Honningsvag ;Norway;70.9802638;25.977841
210;ENKB;Kristiansund ;Norway;63.2168194;7.545259
211;ENKR;Kirkenes ;Norway;69.7271478;30.0448971
212;ENLK;Leknes;Norway;68.1474646;13.6115311
213;ENMH;Mehamn;Norway;71.0389923;27.8517589
214;ENML;Molde ;Norway;62.6016257;8.1386208
215;ENMS;Mosjoen ;Norway;65.8375342;13.1892098
216;ENNA;Lakselv ;Norway;70.0524983;24.9606571
217;ENNO;Notodden ;Norway;59.6871024;9.1508082
218;ENOL;Orland;Norway;63.8414053;9.7003652
219;ENOV;Orsta-Volda ;Norway;62.1784694;6.0695736
220;ENRA;Mo I Rana ;Norway;66.3110969;14.1386991
221;ENRM;Rorvik ;Norway;64.8615745;11.2379128
222;ENRO;Roros;Norway;62.5695151;11.6604365
223;ENRS;Rost;Norway;67.3972862;12.0326911
224;ENRY;Moss ;Norway;59.4146674;10.6596578
225;ENSB;Svalbard ;Norway;78.7198519;20.3493328
226;ENSD;Sandane ;Norway;59.0652898;8.0021679
227;ENSG;Sogndal ;Norway;61.329791;6.7203648
228;ENSO;Stord ;Norway;59.8250205;5.4883706
229;ENSR;Sorkjosen;Norway;69.7860232;20.9502985
230;ENSS;Vardo ;Norway;70.3308158;30.9618205
231;ENST;Sandnessjoen ;Norway;66.0215451;12.6317232
232;ENTC;Tromso ;Norway;69.6516345;18.9558585
233;ENTO;Sandefjord ;Norway;59.0799004;10.2804322
234;ENVA;Trondheim ;Norway;63.4304475;10.3952118
235;ENVD;Vadso;Norway;70.2267198;29.7828009
236;ENZV;Stavanger ;Norway;58.9699675;5.7318101
237;ESCF;Linkoping ;Sweden;58.4098135;15.6245252
238;ESCM;Uppsala;Sweden;59.8586126;17.6387436
239;ESDF;Ronneby;Sweden;56.2100417;15.2760355
240;ESGG;Goteborg ;Sweden;57.7072326;11.9670171
241;ESGJ;Jonkoping;Sweden;57.7825634;14.165719
242;ESGP;Goteborg ;Sweden;57.7072326;11.9670171
243;ESGT;Trollhattan-Vanersborg;Sweden;58.318044;12.3452129
244;ESIA;Karlsborg;Sweden;58.583333;14.5
245;ESIB;Satenas;Sweden;58.4421321;12.7007633
246;ESKM;Mora ;Sweden;61.0086787;14.5442519
247;ESKN;Stockholm ;Sweden;59.3251172;18.0710935
248;ESMK;Kristianstad;Sweden;56.0293778;14.1566859
249;ESMQ;Kalmar;Sweden;56.6628826;16.3662382
250;ESMS;Malmo;Sweden;55.6052931;13.0001566
251;ESMT;Halmstad;Sweden;56.6739826;12.8574827
252;ESMV;Hagshult;Sweden;57.2910877;14.135628
253;ESMX;Vaxjo ;Sweden;56.8787183;14.8094385
254;ESND;Sveg;Sweden;62.0360709;14.3598392
255;ESNG;Gallivare;Sweden;67.3;20.25
256;ESNK;Kramfors-Solleftea;Sweden;63.0526173;17.7446526
257;ESNL;Lycksele;Sweden;64.6;18.166667
258;ESNN;Sundsvall-Timra;Sweden;62.5278157;17.4406275
259;ESNO;Ornskoldsvik;Sweden;63.2888613;18.7160209
260;ESNQ;Kiruna;Sweden;68.166667;19.5
261;ESNS;Skelleftea;Sweden;64.7520185;20.959339
262;ESNU;Umea;Sweden;63.8256568;20.2630745
263;ESNV;Vilhelmina;Sweden;64.833333;16.0
264;ESNX;Arvidsjaur;Sweden;65.666667;19.25
265;ESNZ;Are Ostersund;Sweden;63.1953787;14.4998178
266;ESOE;Orebro;Sweden;59.2747287;15.2151181
267;ESOH;Hagfors;Sweden;60.0297519;13.6518574
268;ESOK;Karlstad;Sweden;59.3809146;13.5027631
269;ESOW;Stockholm ;Sweden;59.3251172;18.0710935
270;ESPA;Lulea ;Sweden;65.5831187;22.1459535
271;ESPE;Vidsel;Sweden;65.8336059;20.5200884
272;ESSA;Stockholm ;Sweden;59.3251172;18.0710935
273;ESSB;Stockholm ;Sweden;59.3251172;18.0710935
274;ESSD;Borlange;Sweden;60.4856426;15.4234561
275;ESSL;Linkoping ;Sweden;58.4098135;15.6245252
276;ESSP;Norrkoping ;Sweden;58.5909124;16.1903511
277;ESST;Torsby;Sweden;60.5;13.083333
278;ESSV;Visby;Sweden;57.6379361;18.297982
279;ESTA;Angelholm;Sweden;56.2429224;12.8619375
280;ESTL;Ljungbyhed;Sweden;56.0744425;13.2335627
281;ESUP;Pajala;Sweden;67.25;23.0
282;ESUT;Hemavan Tarnaby;Sweden;65.8160692;15.087924
283;ETAD;Spangdahlem ;Germany;49.9833;6.68333
284;ETAR;Ramstein ;Germany;49.4475167;7.5554676
285;ETEB;Ansbach ;Germany;49.3028611;10.5722288
286;ETHA;Altenstadt;Germany;47.823657;10.8734632
287;ETHB;Buckeburg;Germany;52.2611037;9.0488959
288;ETHC;Celle;Germany;52.624056;10.081052
289;ETHF;Fritzlar;Germany;51.1537071;9.2645106
290;ETHL;Laupheim;Germany;48.230514;9.8771587
291;ETHN;Niederstetten;Germany;49.4003232;9.9189607
292;ETHS;Fassberg;Germany;52.8989323;10.1667763
293;ETIC;Grafenwohr ;Germany;49.7209693;11.9018013
294;ETIK;Illesheim ;Germany;49.4805594;10.3786501
295;ETMN;Nordholz;Germany;53.7859113;8.6151701
296;ETND;Diepholz;Germany;52.7478987;8.7615261
297;ETNG;Geilenkirchen;Germany;50.963605;6.1199802
298;ETNH;Hohn;Germany;54.298156;9.5063907
299;ETNL;Laage ;Germany;53.9258806;12.3501625
300;ETNN;Norvenich;Germany;50.8064333;6.6409632
301;ETNS;Schleswig;Germany;54.51851;9.5653284
302;ETNT;Wittmundhafen;Germany;53.551304;7.6600852
303;ETNW;Wunstorf;Germany;52.4257979;9.4294425
304;ETOU;Wiesbaden ;Germany;50.0820384;8.2416556
305;ETSB;Buchel;Germany;50.1730329;7.0840762
306;ETSH;Holzdorf;Germany;54.554442;9.8965509
307;ETSL;Lechfeld;Germany;48.1643014;10.8229467
308;ETSN;Neuburg;Germany;53.9449473;11.5903337
309;ETWM;Meppen;Germany;52.6947452;7.2909824
310;LATI;Tirana;Albania;41.3281482;19.8184435
311;LDDU;Dubrovnik ;Croatia;42.6491029;18.0939501
312;LDOS;Osijek ;Croatia;45.5548793;18.6953685
313;LDPL;Pula;Croatia;44.8702281;13.8455311
314;LDRI;Rijeka ;Croatia;45.3267976;14.442208
315;LDSP;Split ;Croatia;43.5116383;16.4399659
316;LDZA;Zagreb ;Croatia;45.8130967;15.9772795
317;LDZD;Zadar ;Croatia;44.1168594;15.2353257
318;LEAB;Albacete;Spain;38.9950921;-1.8559154
319;LEAL;Alicante;Spain;38.3436365;-0.4881708
320;LEAO;Ciudad Real ;Spain;38.9597347;-3.8828744
321;LEAS;Asturias;Spain;43.3133868;-5.94192
322;LEBA;Cordoba;Spain;37.8845813;-4.7760138
323;LEBB;Bilbao;Spain;43.2630018;-2.9350039
324;LEBG;Burgos;Spain;42.343926;-3.696977
325;LEBL;Barcelona ;Spain;41.3828939;2.1774322
326;LEBT;Valencia ;Spain;39.4697065;-0.3763353
327;LEBZ;Badajoz ;Spain;38.8896436;-6.9801425
328;LECO;A Coruna;Spain;43.3709703;-8.3959425
329;LEDA;Lleida ;Spain;41.6147605;0.6267842
330;LEGA;Granada ;Spain;37.1734995;-3.5995337
331;LEGE;Girona;Spain;41.9793006;2.8199439
332;LEGR;Granada ;Spain;37.1734995;-3.5995337
333;LEHC;Huesca ;Spain;42.1360614;-0.0298027
334;LEIB;Ibiza;Spain;38.9743901;1.4197463
335;LEJR;Jerez;Spain;36.6816936;-6.1377402
336;LELC;Murcia ;Spain;37.9923795;-1.1305431
337;LELL;Sabadell;Spain;41.5421013;2.1138977
338;LELN;Leon;Spain;42.6341451;-5.9714151
339;LELO;Logrono ;Spain;42.4661196;-2.4396676
340;LEMD;Madrid ;Spain;40.4167047;-3.7035825
341;LEMG;Malaga ;Spain;36.7213028;-4.4216366
342;LEMH;Menorca;Spain;39.9492572;4.0499642
343;LEMO;Seville ;Spain;37.3886303;-5.9953403
344;LEPA;Palma De Mallorca;Spain;39.5695818;2.6500745
345;LEPP;Pamplona;Spain;42.815686;-1.6522353
346;LERI;Murcia ;Spain;37.9923795;-1.1305431
347;LERS;Reus;Spain;41.1555564;1.1076133
348;LERT;Cadiz ;Spain;36.5262463;-5.9008367
349;LESA;Salamanca ;Spain;40.9651572;-5.6640182
350;LESB;Mallorca ;Spain;39.613432;2.8829185
351;LESO;San Sebastian;Spain;43.3224219;-1.9838889
352;LEST;Santiago;Spain;42.9189543;-8.550786
353;LESU;La Seu d'Urgell ;Spain;42.3575723;1.4560067
354;LETL;Teruel;Spain;40.6005259;-0.9229282
355;LETO;Madrid ;Spain;40.4167047;-3.7035825
356;LEVC;Valencia ;Spain;39.4697065;-0.3763353
357;LEVD;Valladolid ;Spain;41.6521807;-4.728605
358;LEVT;Vitoria ;Spain;42.8465088;-2.6724025
359;LEVX;Vigo;Spain;42.2376602;-8.7247205
360;LEXJ;Santander;Spain;43.4618932;-3.8100255
361;LEZG;Zaragoza;Spain;41.6521342;-0.8809428
362;LEZL;Seville;Spain;37.3886303;-5.9953403
363;LFAC;Calais-Dunkerque;France;50.9607603;1.9533631
364;LFAQ;Albert ;France;50.0018022;2.6509223
365;LFAT;Le Touquet ;France;50.5200083;1.5864532
366;LFBA;Agen ;France;44.2015827;0.6176112
367;LFBC;Cazaux ;France;43.052569;1.5096567
368;LFBD;Bordeaux ;France;44.841225;-0.5800364
369;LFBE;Bergerac ;France;44.8534568;0.487531
370;LFBF;Toulouse ;France;43.6044622;1.4442469
371;LFBG;Cognac ;France;45.6931647;-0.3250175
372;LFBH;La Rochelle ;France;46.159732;-1.1515951
373;LFBI;Poitiers ;France;46.5802596;0.340196
374;LFBL;Limoges ;France;45.8354243;1.2644847
375;LFBM;Mont-De-Marsan;France;43.8911318;-0.500972
376;LFBO;Toulouse ;France;43.6044622;1.4442469
377;LFBP;Pau/Pyrenees;France;43.2866445;-0.0927302
378;LFBT;Tarbes ;France;43.232858;0.0781021
379;LFBU;Angouleme ;France;45.6484505;0.1561947
380;LFBX;Perigueux ;France;45.1909365;0.7184407
381;LFBY;Dax ;France;43.7084065;-1.0518771
382;LFBZ;Biarritz ;France;43.4832523;-1.5592776
383;LFCK;Castres-Mazamet;France;43.590608;2.269684
384;LFCR;Rodez ;France;44.3511408;2.5728493
385;LFGA;Colmar ;France;48.0777517;7.3579641
386;LFGJ;Dole ;France;47.0921047;5.4925463
387;LFHP;Le Puy ;France;44.6619444;0.0738889
388;LFJL;Metz-Nancy/Lorraine;France;48.9783649;6.2437694
389;LFJR;Angers ;France;47.4739884;-0.5515588
390;LFKB;Bastia ;France;42.6993979;9.4509187
391;LFKC;Calvi ;France;42.5677079;8.7590528
392;LFKF;Figari/Sud Corse;France;41.5032668;9.0983266
393;LFKJ;Ajaccio ;France;41.9263991;8.7376029
394;LFKS;Solenzara;France;41.9238896;9.4011262
395;LFLB;Chambery ;France;45.5662672;5.9203636
396;LFLC;Clermont-Ferrand/Auvergne;France;45.7850077;3.1604752
397;LFLH;Chalon ;France;45.4458331;4.9310763
398;LFLL;Lyon ;France;45.7578137;4.8320114
399;LFLN;St Yan;France;46.4116528;4.0390288
400;LFLP;Annecy ;France;45.8992348;6.1288847
401;LFLS;Grenoble ;France;45.1875602;5.7357819
402;LFLU;Valence ;France;44.9332277;4.8920811
403;LFLV;Vichy ;France;46.1239268;3.4203712
404;LFLW;Aurillac;France;44.9285441;2.4433101
405;LFLX;Chateauroux ;France;46.8047;1.6957099
406;LFLY;Lyon ;France;45.7578137;4.8320114
407;LFMC;Le Luc ;France;43.3946278;6.3128995
408;LFMD;Cannes ;France;43.5515198;7.0134418
409;LFMH;St Etienne ;France;45.4401467;4.3873058
410;LFMI;Istres ;France;43.5139051;4.9884323
411;LFMK;Carcassonne ;France;43.2130358;2.3491069
412;LFML;Marseille/Provence;France;43.433148;5.2069707
413;LFMN;Nice/Cote D'Azur;France;43.7034213;7.2631626
414;LFMP;Perpignan ;France;42.6985304;2.8953121
415;LFMT;Montpellier/Mediterranee;France;43.5803862;3.9631657
416;LFMU;Beziers ;France;43.3426562;3.2131307
417;LFMV;Avignon ;France;43.9492493;4.8059012
418;LFMY;Salon ;France;45.01895;0.77178
419;LFOA;Avord ;France;47.0353206;2.6511406
420;LFOB;Beauvais ;France;49.4300997;2.0823355
421;LFOE;Evreux ;France;49.0268903;1.1510164
422;LFOH;Le Havre ;France;49.4938975;0.1079732
423;LFOJ;Orleans ;France;47.9027336;1.9086066
424;LFOK;Chalons ;France;45.4458331;4.9310763
425;LFOP;Rouen/Vallee De Seine;France;49.3850152;1.1833605
426;LFOT;Tours ;France;47.3900474;0.6889268
427;LFOV;Laval ;France;48.0706687;-0.7734022
428;LFOZ;Orleans ;France;47.9027336;1.9086066
429;LFPB;Paris ;France;48.8534951;2.3483915
430;LFPG;Paris ;France;48.8534951;2.3483915
431;LFPM;Melun ;France;48.539927;2.6608169
432;LFPN;Toussus-Le-Noble;France;48.7451558;2.1145179
433;LFPO;Paris ;France;48.8534951;2.3483915
434;LFPT;Pontoise ;France;49.0508845;2.1008067
435;LFPV;Villacoublay ;France;48.7809496;2.1900052
436;LFQA;Reims ;France;49.2577886;4.031926
437;LFQG;Nevers ;France;46.9876601;3.1577203
438;LFQQ;Lille ;France;50.6365654;3.0635282
439;LFRB;Brest ;France;48.3905283;-4.4860088
440;LFRC;Cherbourg ;France;49.5127198;-1.5755441
441;LFRD;Dinard ;France;48.6320379;-2.0580178
442;LFRG;Deauville ;France;49.36;0.0752778
443;LFRH;Lorient ;France;47.7477336;-3.3660907
444;LFRI;La Roche-Sur-Yon ;France;46.6705431;-1.4269698
445;LFRJ;Landivisiau ;France;48.5127551;-4.0699356
446;LFRK;Caen ;France;49.1813403;-0.3635615
447;LFRL;Lanveoc ;France;48.2866723;-4.4615166
448;LFRM;Le Mans ;France;48.0073849;0.1967849
449;LFRN;Rennes ;France;48.1113387;-1.6800198
450;LFRO;Lannion;France;48.7322183;-3.4587994
451;LFRQ;Quimper ;France;47.9960325;-4.1024782
452;LFRS;Nantes/Atlantique;France;47.1518409;-1.608462
