,AL,BG,TR,IT,MK,sum
2024-01-10 22:00:00+00:00,94.0,104.0,99.0,0.0,20.0,317.0
2024-01-10 23:00:00+00:00,25.0,101.0,115.0,0.0,4.0,245.0
2024-01-11 00:00:00+00:00,17.0,139.0,116.0,0.0,8.0,280.0
2024-01-11 01:00:00+00:00,16.0,128.0,109.0,0.0,30.0,283.0
2024-01-11 02:00:00+00:00,58.0,146.0,120.0,0.0,98.0,422.0
2024-01-11 03:00:00+00:00,192.0,211.0,126.0,0.0,293.0,822.0
2024-01-11 04:00:00+00:00,166.0,76.0,91.0,47.0,213.0,593.0
2024-01-11 05:00:00+00:00,78.0,1.0,34.0,448.0,10.0,571.0
2024-01-11 06:00:00+00:00,3.0,0.0,11.0,323.0,0.0,337.0
2024-01-11 07:00:00+00:00,0.0,0.0,36.0,0.0,0.0,36.0
2024-01-11 08:00:00+00:00,0.0,0.0,10.0,0.0,0.0,10.0
2024-01-11 09:00:00+00:00,0.0,0.0,15.0,0.0,0.0,15.0
2024-01-11 10:00:00+00:00,0.0,0.0,27.0,0.0,0.0,27.0
2024-01-11 11:00:00+00:00,0.0,0.0,26.0,78.0,0.0,104.0
2024-01-11 12:00:00+00:00,0.0,0.0,9.0,376.0,0.0,385.0
2024-01-11 13:00:00+00:00,5.0,0.0,19.0,41.0,0.0,65.0
2024-01-11 14:00:00+00:00,45.0,0.0,13.0,432.0,0.0,490.0
2024-01-11 15:00:00+00:00,144.0,0.0,66.0,491.0,0.0,701.0
2024-01-11 16:00:00+00:00,220.0,31.0,88.0,491.0,66.0,896.0
2024-01-11 17:00:00+00:00,280.0,75.0,70.0,491.0,215.0,1131.0
2024-01-11 18:00:00+00:00,282.0,119.0,92.0,491.0,238.0,1222.0
2024-01-11 19:00:00+00:00,246.0,2.0,56.0,488.0,162.0,954.0
2024-01-11 20:00:00+00:00,174.0,37.0,81.0,297.0,124.0,713.0
2024-01-11 21:00:00+00:00,251.0,295.0,145.0,204.0,270.0,1165.0
2024-01-11 22:00:00+00:00,320.0,413.0,175.0,361.0,350.0,1619.0
2024-01-11 23:00:00+00:00,314.0,400.0,198.0,0.0,333.0,1245.0
2024-01-12 00:00:00+00:00,376.0,504.0,213.0,0.0,591.0,1684.0
2024-01-12 01:00:00+00:00,389.0,544.0,228.0,0.0,644.0,1805.0
2024-01-12 02:00:00+00:00,387.0,530.0,214.0,0.0,627.0,1758.0
2024-01-12 03:00:00+00:00,391.0,468.0,212.0,0.0,598.0,1669.0
2024-01-12 04:00:00+00:00,396.0,337.0,172.0,0.0,540.0,1445.0
2024-01-12 05:00:00+00:00,283.0,19.0,83.0,284.0,158.0,827.0
2024-01-12 06:00:00+00:00,129.0,0.0,24.0,123.0,1.0,277.0
2024-01-12 07:00:00+00:00,10.0,0.0,16.0,0.0,0.0,26.0
2024-01-12 08:00:00+00:00,0.0,0.0,1.0,0.0,0.0,1.0
2024-01-12 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 10:00:00+00:00,0.0,0.0,1.0,0.0,0.0,1.0
2024-01-12 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 12:00:00+00:00,0.0,0.0,0.0,84.0,0.0,84.0
2024-01-12 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-12 14:00:00+00:00,42.0,0.0,1.0,0.0,0.0,43.0
2024-01-12 15:00:00+00:00,1.0,0.0,0.0,0.0,0.0,1.0
2024-01-12 16:00:00+00:00,0.0,0.0,0.0,160.0,0.0,160.0
2024-01-12 17:00:00+00:00,11.0,0.0,0.0,0.0,0.0,11.0
2024-01-12 18:00:00+00:00,25.0,0.0,0.0,0.0,0.0,25.0
2024-01-12 19:00:00+00:00,16.0,0.0,0.0,0.0,0.0,16.0
2024-01-12 20:00:00+00:00,1.0,0.0,0.0,0.0,0.0,1.0
2024-01-12 21:00:00+00:00,36.0,0.0,16.0,0.0,0.0,52.0
2024-01-12 22:00:00+00:00,54.0,6.0,53.0,0.0,8.0,121.0
2024-01-12 23:00:00+00:00,243.0,194.0,109.0,0.0,204.0,750.0
2024-01-13 00:00:00+00:00,235.0,322.0,146.0,0.0,380.0,1083.0
2024-01-13 01:00:00+00:00,250.0,339.0,161.0,0.0,381.0,1131.0
2024-01-13 02:00:00+00:00,230.0,315.0,171.0,0.0,390.0,1106.0
2024-01-13 03:00:00+00:00,268.0,366.0,177.0,0.0,468.0,1279.0
2024-01-13 04:00:00+00:00,265.0,365.0,188.0,0.0,478.0,1296.0
2024-01-13 05:00:00+00:00,203.0,303.0,165.0,122.0,360.0,1153.0
2024-01-13 06:00:00+00:00,302.0,296.0,158.0,0.0,449.0,1205.0
2024-01-13 07:00:00+00:00,296.0,444.0,226.0,0.0,485.0,1451.0
2024-01-13 08:00:00+00:00,124.0,406.0,215.0,0.0,275.0,1020.0
2024-01-13 09:00:00+00:00,123.0,450.0,225.0,0.0,292.0,1090.0
2024-01-13 10:00:00+00:00,47.0,440.0,203.0,0.0,252.0,942.0
2024-01-13 11:00:00+00:00,60.0,507.0,215.0,0.0,335.0,1117.0
2024-01-13 12:00:00+00:00,181.0,589.0,230.0,0.0,461.0,1461.0
2024-01-13 13:00:00+00:00,238.0,520.0,229.0,0.0,492.0,1479.0
2024-01-13 14:00:00+00:00,182.0,223.0,159.0,331.0,270.0,1165.0
2024-01-13 15:00:00+00:00,69.0,29.0,85.0,488.0,37.0,708.0
2024-01-13 16:00:00+00:00,156.0,339.0,186.0,244.0,314.0,1239.0
