,DE,AT,SE,FR,IT,PL,ES,NL,BE,IE
2022-05-04,179412226240.0,150258993664.0,144374359864.0,647553436480.0,737224102344.0,31617259392.0,2648472092000.0,39066123712.0,6403751424.0,35065979480.0
2022-05-05,510554381760.0,184355450368.0,530960257312.0,1325312052288.0,2145183775640.0,133883756224.0,954115850232.0,15138783280.0,8888229408.0,140216401264.0
2022-05-06,1017040338304.0,1347645284352.0,420697596672.0,838282099776.0,2975994863037.0,444363311872.0,110517089146.95453,33966963808.0,0.0,441925303264.0
2022-05-07,662150066240.0,827486220288.0,591213609600.0,423242290208.0,870128562465.0,195643878848.0,126775542752.0,105567092864.0,78646336512.0,68977245052.81113
2022-05-08,328258261824.0,480591286272.0,113589673488.0,203391198976.0,491889728416.0,120468235392.0,15671935392.0,0.0,0.0,171805428352.0
2022-05-09,9106978560.0,57225894848.0,882167348352.0,87148837280.0,126234989313.0,9663015808.0,82149615125.84123,20644811664.0,4712540672.0,915131803648.0
2022-05-10,1166438469312.0,0.0,2419174823040.0,924746488416.0,44751944293.5,56287156448.0,5715534688.0,448445566976.0,205152774144.0,154622513200.0
2022-05-11,1454336671360.0,0.0,987673788224.0,33646900416.0,1106459784.0,1457410544384.0,46357917656.0,188801236480.0,52204242432.0,83776052928.0
2022-05-12,199065985408.0,2400264960.0,365910393184.0,761144732736.0,1581411.0,241302590784.0,656230355601.0,0.0,0.0,351933874896.0
2022-05-13,557905460416.0,389715085312.0,171377309472.0,345565893696.0,57400778592.0,505021937152.0,169545891070.0,111084761600.0,26805130496.0,95792620368.0
2022-05-14,0.0,0.0,602746493280.0,378960827392.0,72246976672.0,122581808512.0,648869322304.0,0.0,0.0,46008680176.0
2022-05-15,2361526528.0,0.0,23885395360.0,1129417535680.0,8947117216.0,0.0,710185763092.0,22107587552.0,16011962368.0,66980569732.0
2022-05-16,790364922240.0,115988276352.0,73266061056.0,1159302124992.0,124585328784.0,42951296640.0,128472404352.0,149929397760.0,96660532224.0,328138399616.0
2022-05-17,1526550296512.0,269346861568.0,150833331216.0,183583247360.0,120301516416.0,417393502464.0,118981875072.0,53618390688.0,34248965376.0,397575251824.0
2022-05-18,447080182848.0,0.0,277212261216.0,336914237504.0,9252675808.0,0.0,379076246368.0,49545336448.0,36428392448.0,290878939840.0
2022-05-19,925575500864.0,0.0,536668347696.0,1075819360000.0,20483785024.0,211130753344.0,341501062266.7455,379470666752.0,265735073792.0,88440054976.0
2022-05-20,1488650442368.0,325861025792.0,862994380432.0,1084189919488.0,7611910400.0,762935258176.0,410901827002.0,439189757952.0,168729769984.0,205707621128.0
2022-05-21,182966212352.0,500932251648.0,1703177204064.0,121704306444.4523,70322472960.0,1876665413632.0,1317199866592.7456,11182995328.0,17836083840.0,269470089216.0
2022-05-22,130739940224.0,10549198464.0,550093061376.0,1748651316352.0,181821140672.0,476221721856.0,1255119203883.2363,38937636384.0,3277304064.0,149595739952.0
2022-05-23,1276278580416.0,166546193408.0,84503130700.06146,2756773368704.0,433720692544.0,90618768816.0,111442437520.0,133772606976.0,235745277952.0,66316664772.0
2022-05-24,1265389547264.0,473336907776.0,717406517688.0,960593059968.0,72759904416.0,687796377024.0,1449303927300.0,69599626272.0,33008621056.0,118087596096.0
2022-05-25,774538316224.0,589797567488.0,287434193696.0,467801458560.0,409978044090.0,2221652220928.0,619964819696.0,42674756096.0,11803821824.0,43830466186.46893
2022-05-26,195667557888.0,0.0,650612238624.0,120168916096.0,524476104098.0,31426718336.0,54612717024.0,22374800000.0,19553623040.0,80974923008.0
2022-05-27,489367264320.0,7911421952.0,875206292992.0,175975262528.0,1140275617848.0,1049393709376.0,31753150976.0,2355964960.0,14059789472.0,2538083184.0
2022-05-28,123469382784.0,105285770112.0,1390582957312.0,67149636780.4523,421885292080.0,215133328320.0,9008801088.0,0.0,0.0,40765855080.0
2022-05-29,366782478912.0,345673043200.0,583683736768.0,47090035072.0,395199721437.625,454432572032.0,26356735548.0,1486680064.0,0.0,13817349728.0
2022-05-30,437036035264.0,12456001408.0,358904286800.0,112387063296.0,93964606704.5,1865493372416.0,427442836972.6346,2059106288.0,956448928.0,5996777120.0
2022-05-31,125026468736.0,72910954496.0,1133047345376.0,936015915584.0,156283941290.87442,40442090496.0,730711432192.0,17227848656.0,29738173440.0,81809150752.0
2022-06-01,422027650240.0,273078045696.0,1452134150864.0,745045614586.2894,35873192320.0,1672436512512.0,972386817216.0,51357092160.0,2015933440.0,14210566560.0
2022-06-02,186110360224.0,87803709440.0,1177319254912.0,926307613553.146,110512019608.0,567329707712.0,407175701538.0,16609414784.0,0.0,96841730016.0
2022-06-03,381908896128.0,193801888768.0,1551775635232.0,2988919999744.0,893804284098.3267,1528427392.0,1008925839444.0,2832991200.0,72514774016.0,8820245368.0
2022-06-04,852750945536.0,314326069248.0,490735029040.0,2097742921472.0,191109014592.0,1147689602944.0,245541683727.0,13891151424.0,141094776832.0,80065524224.0
2022-06-05,1672155793792.0,112322861824.0,641332843104.0,2655696368832.0,511501650612.0,224630628096.0,349455598448.0,408180157440.0,526487027712.0,115344973088.0
2022-06-06,1585285635456.0,690609565696.0,496310309376.0,1034635829472.0,146172368446.0,555429338880.0,512519700366.375,343087901184.0,77936915456.0,123723612872.0
